x,y,std
0,7468.172,14.94999719
1,7477.144,15.46665006
2,7463.93,15.6854423
3,7488.245,15.28787019
4,7464.31,17.52814594
5,7476.376,15.69906443
6,7420.891,15.9574158
7,7428.962,15.71007817
8,7475.309,15.42321364
9,7461.239,14.892813
10,7461.545,15.87463307
11,7479.085,14.96675566
12,7449.001,15.67230037
13,7472.738,16.56325318
14,7431.378,15.882919
15,7467.883,15.24445181
16,7455.448,17.63386787
17,7447.839,15.92774557
18,7489.064,15.31273666
19,7480.81,16.34368074
20,7494.242,15.45151889
21,7509.981,15.29694868
22,7442.358,16.48726284
23,7484.702,15.91757507
24,7468.517,15.50682788
25,7465.847,15.06604099
26,7478.654,15.17452747
27,7470.278,14.97780745
28,7488.134,15.13023609
29,7512.806,15.05139077
30,7463.853,18.35836025
31,7488.794,15.46200388
32,7473.801,16.02664653
33,7475.018,15.21189258
34,7487.918,15.23211331
35,7490.401,15.44688315
36,7492.065,14.40335985
37,7498.266,16.63830652
38,7466.904,15.1798809
39,7505.467,14.92886168
40,7461.597,15.72674763
41,7467.32,15.13980185
42,7487.133,14.90554632
43,7480.669,16.27997049
44,7485.734,15.6275796
45,7511.232,15.19763718
46,7480.406,14.61564792
47,7498.585,15.24784493
48,7453.288,15.18726625
49,7483.547,15.06159988
50,7491.457,16.37339766
51,7482.708,15.30289959
52,7497.699,15.90359705
53,7519.618,14.51310015
54,7478.891,15.17303921
55,7530.021,15.74327028
56,7476.9,14.79060513
57,7483.554,15.37859174
58,7479.833,15.19095491
59,7477.516,15.91068019
60,7506.081,20.89914924
61,7481.432,14.8285325
62,7503.023,14.94504838
63,7517.082,14.93282545
64,7478.228,15.40993238
65,7536.27,15.30493711
66,7495.624,14.79731814
67,7489.201,17.02805329
68,7482.495,15.13928582
69,7491.315,15.56386119
70,7535.098,15.23398818
71,7529.867,14.88728689
72,7480.66,15.01667074
73,7520.11,13.99649599
74,7475.668,17.76107474
75,7502.395,15.34441185
76,7492.801,15.028087
77,7504.462,15.43251619
78,7500.158,15.45622968
79,7504.057,16.85407224
80,7490.416,15.39964103
81,7511.846,15.40358023
82,7477.915,15.13769385
83,7517.927,14.95652603
84,7498.597,15.11127364
85,7487.103,15.22880136
86,7495.172,14.47924086
87,7488.077,15.29892385
88,7501.752,15.21704623
89,7509.497,15.30222177
90,7486.149,14.81090136
91,7513.937,16.97583668
92,7492.287,15.34296683
93,7503.764,17.7654244
94,7477.145,14.97270767
95,7491.082,15.09268949
96,7492.347,15.51446393
97,7518.953,15.54582873
98,7508.149,15.00475921
99,7529.996,15.56573108
100,7479.613,15.36115982
101,7481.518,16.80439454
102,7488.062,15.45490718
103,7516.312,14.96959104
104,7506.63,16.19632983
105,7513.101,15.13812403
106,7508.199,17.37358337
107,7542.442,14.70274247
108,7491.345,15.62785894
109,7504.888,15.22601248
110,7500.197,15.38688373
111,7485.307,15.19021893
112,7543.286,15.12766353
113,7520.793,15.55423258
114,7534.87,15.16143463
115,7549.361,15.29335408
116,7481.93,15.7731132
117,7538.031,15.08290552
118,7505.625,17.88760395
119,7520.574,14.816495
120,7533.229,14.96370806
121,7525.229,14.50732777
122,7521.076,14.98026115
123,7546.011,16.37964832
124,7545.088,14.76415443
125,7564.091,14.95027488
126,7522.776,17.17905189
127,7545.177,19.03495918
128,7514.261,15.66578689
129,7528.87,15.83644847
130,7526.286,14.91724519
131,7517.955,15.08532317
132,7536.509,15.28711611
133,7558.698,14.98988979
134,7504.504,14.89738178
135,7539.45,16.6830303
136,7531.499,17.29994217
137,7537.639,15.65837409
138,7551.093,14.7201342
139,7550.273,14.8790615
140,7524.938,15.90616723
141,7563.68,14.5570464
142,7506.788,16.02289162
143,7578.05,15.72137081
144,7530.406,15.57970359
145,7538.132,15.28484792
146,7537.049,15.17262663
147,7534.139,15.80967043
148,7555.951,15.54710902
149,7556.949,16.54915101
150,7560.226,15.44263332
151,7561.21,15.81239704
152,7537.973,15.82005913
153,7556.062,14.69231622
154,7533.679,15.15592158
155,7550.586,16.83189247
156,7569.233,14.76755603
157,7567.319,15.45021809
158,7563.647,15.30399918
159,7594.815,14.74899234
160,7568.665,15.45648003
161,7569.462,14.31532591
162,7521.441,15.15758949
163,7568.787,14.29033348
164,7534.171,16.23994332
165,7546.82,15.09760246
166,7553.546,14.92433865
167,7588.95,15.92160482
168,7541.491,15.37094399
169,7566.919,15.9497473
170,7530.267,16.79737215
171,7560.994,15.31626469
172,7546.121,15.19448449
173,7563.733,14.50833247
174,7566.554,14.88553271
175,7562.754,16.42837436
176,7528.641,14.53706019
177,7590.855,14.89832121
178,7529.287,15.4946646
179,7559.946,16.45293542
180,7541.271,16.38070691
181,7546.334,15.71013826
182,7543.15,15.83936552
183,7546.297,15.4492327
184,7564.416,15.42494551
185,7580.28,15.96507438
186,7542.323,15.4264925
187,7553.183,15.61055768
188,7543.101,15.11445662
189,7533.841,15.00932107
190,7567.399,15.40966577
191,7529.005,15.3303286
192,7564.679,15.17563702
193,7580.479,15.2738194
194,7574.158,15.60202025
195,7600.356,15.81882625
196,7551.11,17.81201561
197,7551.627,15.09277546
198,7549.65,15.37093036
199,7526.593,15.90299818
200,7577.971,16.1050973
201,7535.781,15.78850971
202,7562.966,15.87705401
203,7576.371,14.92143958
204,7531.248,16.20248425
205,7562.28,15.59690995
206,7542.28,14.77868736
207,7530.844,15.21774175
208,7557.616,15.5317914
209,7568.489,15.34294232
210,7544.469,15.75922076
211,7581.628,17.38757073
212,7536,16.19981481
213,7569.702,16.86402075
214,7532.69,15.61140288
215,7575.416,15.58778188
216,7569.283,18.40290496
217,7560.787,15.53111815
218,7558.335,15.18738868
219,7587.367,15.71522545
220,7552.494,16.6556286
221,7604.329,15.46255991
222,7535.214,15.86846571
223,7559.297,15.04582304
224,7550.249,15.67070512
225,7552.896,19.23021539
226,7544.681,15.44380908
227,7559.818,17.21286949
228,7552.181,15.24690916
229,7587.96,15.30373811
230,7539.152,17.01466708
231,7559.923,16.5866534
232,7547.981,15.19304574
233,7573.322,14.85181188
234,7552.859,15.72994339
235,7556.021,15.68880362
236,7557.006,15.82990726
237,7581.974,15.09235979
238,7550.513,15.553065
239,7571.967,15.94590578
240,7555.383,18.63256051
241,7555.342,15.93314269
242,7553.485,15.32644039
243,7549.048,14.7335568
244,7543.953,15.2571554
245,7592.873,15.80812674
246,7546.72,14.98371116
247,7609.74,14.67679802
248,7540.21,14.85576992
249,7568.253,18.22292488
250,7552.079,15.91542519
251,7539.223,15.38412399
252,7556.994,15.68215432
253,7587.46,14.92261371
254,7566.629,14.96593996
255,7596.124,15.05910436
256,7529.222,15.23373611
257,7562.922,15.90326746
258,7541.872,14.74752915
259,7542.959,15.776163
260,7572.716,16.07897211
261,7563.239,15.31541312
262,7553.269,16.43285243
263,7552.415,15.0119544
264,7514.744,16.03547517
265,7567.153,14.95705823
266,7521.413,15.34413344
267,7560.306,15.37017775
268,7559.456,15.37394107
269,7557.807,15.09449406
270,7536.045,15.25847224
271,7539.447,14.82785187
272,7522.183,16.0159143
273,7571.087,14.64791559
274,7510.517,16.66936444
275,7543.675,20.5686503
276,7552.57,16.38386706
277,7520.986,15.09045407
278,7543.922,14.82180542
279,7540.995,15.52729774
280,7530.646,16.01407768
281,7545.711,15.76494462
282,7535.642,15.53402189
283,7550.839,15.31714983
284,7516.596,14.64912229
285,7533.489,15.39824272
286,7507.623,14.94981174
287,7559.778,15.29871616
288,7534.56,15.93688803
289,7545.802,15.15212183
290,7542.169,15.62601801
291,7532.29,15.19637786
292,7502.827,15.29781262
293,7512.499,15.64876989
294,7546.782,18.64018444
295,7528.082,14.9977757
296,7521.108,14.64412292
297,7539.636,17.56779736
298,7517.909,15.42694782
299,7536.055,15.06074284
300,7524.163,15.33930999
301,7514.355,16.86555588
302,7497.574,15.20915921
303,7524.489,14.46588673
304,7523.987,15.8817767
305,7532.141,16.0874833
306,7529.859,14.92370996
307,7558.231,14.89951808
308,7484.424,15.107489
309,7518.64,18.6129095
310,7520.801,14.87546298
311,7496.417,14.97194413
312,7509.435,15.35062784
313,7527.884,15.10127624
314,7519.527,14.68915488
315,7572.568,15.39660274
316,7503.774,15.51389455
317,7543.081,14.89746418
318,7493.657,15.63225355
319,7517.59,15.38661431
320,7513.127,19.52078049
321,7506.431,15.20188275
322,7533.421,14.67077909
323,7561.308,14.99003456
324,7511.623,15.79091103
325,7520.436,14.82376147
326,7493.814,15.4872013
327,7526.455,16.5789015
328,7507.582,16.39369623
329,7519.08,15.65016294
330,7525.387,15.49468396
331,7489.501,15.73276832
332,7496.858,15.72602416
333,7556.449,15.04511213
334,7474.889,17.71696021
335,7525.551,15.05215596
336,7486.24,15.57993582
337,7517.321,15.23167617
338,7510.1,14.95118724
339,7512.982,15.97158965
340,7544.395,15.25453949
341,7537.67,15.0220205
342,7501.344,15.38504677
343,7537.148,14.67344867
344,7498.823,14.98111047
345,7514.411,15.85440251
346,7498.296,15.64865438
347,7518.319,14.38684257
348,7514.32,15.05694524
349,7525.1,15.18176538
350,7512.638,15.28224316
351,7526.946,15.34650071
352,7487.852,14.96289063
353,7528.447,15.96274384
354,7503.698,15.14591681
355,7517.882,15.13598613
356,7498.416,14.96472332
357,7505.299,15.58510824
